AppName,AppPackageName,App Category,Time,TimeUsed
Phone,com.google.android.dialer,Comms,2017-02-02T22:24:54.374Z,19
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T20:04:39.714Z,2
Photos,com.google.android.apps.photos,Fun,2017-02-02T20:04:37.336Z,255
WhatsApp,com.whatsapp,Comms,2017-02-02T19:59:37.819Z,7
WhatsApp,com.whatsapp,Comms,2017-02-02T19:59:30.659Z,15
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T19:59:15.602Z,2
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T19:10:51.357Z,2
Facebook,com.facebook.katana,Social,2017-02-02T19:10:49.055Z,33
Facebook,com.facebook.katana,Social,2017-02-02T19:10:16.224Z,30
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T19:10:16.194Z,7
WhatsApp,com.whatsapp,Comms,2017-02-02T19:09:38.485Z,70
WhatsApp,com.whatsapp,Comms,2017-02-02T19:08:15.106Z,88
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T17:13:24.156Z,3
Facebook,com.facebook.katana,Social,2017-02-02T17:13:21.228Z,69
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T17:12:11.882Z,11
Facebook,com.facebook.katana,Social,2017-02-02T16:59:56.616Z,52
WhatsApp,com.whatsapp,Comms,2017-02-02T16:59:03.257Z,5
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T16:58:58.254Z,3
Photos,com.google.android.apps.photos,Fun,2017-02-02T16:58:56.900Z,3
Photos,com.google.android.apps.photos,Fun,2017-02-02T16:49:18.847Z,120
WhatsApp,com.whatsapp,Comms,2017-02-02T16:47:16.875Z,16
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T15:26:42.739Z,7
Facebook,com.facebook.katana,Social,2017-02-02T15:26:34.667Z,82
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T15:25:12.268Z,2
WhatsApp,com.whatsapp,Comms,2017-02-02T15:25:11.420Z,9
WhatsApp,com.whatsapp,Comms,2017-02-02T15:25:02.951Z,12
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T14:39:42.178Z,121
WhatsApp,com.whatsapp,Comms,2017-02-02T14:37:41.677Z,19
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T14:37:23.025Z,2
WhatsApp,com.whatsapp,Comms,2017-02-02T14:15:15.627Z,1004
Phone,com.google.android.dialer,Comms,2017-02-02T13:55:29.342Z,94
WhatsApp,com.whatsapp,Comms,2017-02-02T12:42:43.194Z,143
WhatsApp,com.whatsapp,Comms,2017-02-02T12:13:45.194Z,99
WhatsApp,com.whatsapp,Comms,2017-02-02T11:30:01.902Z,504
WhatsApp,com.whatsapp,Comms,2017-02-02T11:14:38.133Z,969
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T10:49:22.486Z,121
WhatsApp,com.whatsapp,Comms,2017-02-02T10:47:21.332Z,26
WhatsApp,com.whatsapp,Comms,2017-02-02T10:46:55.860Z,3
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T10:46:52.697Z,9
Settings,com.android.settings,Other,2017-02-02T10:46:43.628Z,5
WhatsApp,com.whatsapp,Comms,2017-02-02T09:53:32.998Z,131
WhatsApp,com.whatsapp,Comms,2017-02-02T09:51:21.575Z,126
Settings,com.android.settings,Other,2017-02-02T09:49:03.262Z,150
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T09:46:32.362Z,33
WhatsApp,com.whatsapp,Comms,2017-02-02T09:45:04.924Z,30
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T09:37:35.442Z,121
WhatsApp,com.whatsapp,Comms,2017-02-02T09:35:34.682Z,12
YouTube,com.google.android.youtube,Fun,2017-02-02T09:35:22.395Z,36
YouTube,com.google.android.youtube,Fun,2017-02-02T09:34:46.639Z,5
WhatsApp,com.whatsapp,Comms,2017-02-02T09:34:39.989Z,49
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T09:33:51.191Z,3
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T09:16:39.402Z,128
WhatsApp,com.whatsapp,Comms,2017-02-02T09:14:33.124Z,33
WhatsApp,com.whatsapp,Comms,2017-02-02T09:13:59.906Z,2
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T09:10:20.264Z,3
Facebook,com.facebook.katana,Social,2017-02-02T09:10:17.237Z,17
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T09:10:00.613Z,3
WhatsApp,com.whatsapp,Comms,2017-02-02T09:09:58.247Z,8
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T09:09:49.971Z,3
WhatsApp,com.whatsapp,Comms,2017-02-02T09:09:48.056Z,4
WhatsApp,com.whatsapp,Comms,2017-02-02T08:59:13.504Z,177
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T08:56:19.118Z,5
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T08:54:17.435Z,121
WhatsApp,com.whatsapp,Comms,2017-02-02T08:47:07.926Z,15
WhatsApp,com.whatsapp,Comms,2017-02-02T08:46:53.342Z,3
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T08:46:50.383Z,2
WhatsApp,com.whatsapp,Comms,2017-02-02T08:42:19.365Z,34
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T08:40:29.408Z,4
WhatsApp,com.whatsapp,Comms,2017-02-02T08:40:26.286Z,15
WhatsApp,com.whatsapp,Comms,2017-02-02T08:40:11.533Z,71
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T08:39:00.356Z,2
WhatsApp,com.whatsapp,Comms,2017-02-02T08:38:58.375Z,388
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T08:32:29.404Z,107
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T08:30:41.730Z,4
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T08:30:38.319Z,8
WhatsApp,com.whatsapp,Comms,2017-02-02T08:30:29.498Z,46
WhatsApp,com.whatsapp,Comms,2017-02-02T08:29:43.986Z,50
WhatsApp,com.whatsapp,Comms,2017-02-02T08:28:53.322Z,16
WhatsApp,com.whatsapp,Comms,2017-02-02T08:28:37.781Z,20
WhatsApp,com.whatsapp,Comms,2017-02-02T08:01:03.277Z,1335
WhatsApp,com.whatsapp,Comms,2017-02-02T07:38:48.260Z,58
WhatsApp,com.whatsapp,Comms,2017-02-02T07:37:50.606Z,3
Photos,com.google.android.apps.photos,Fun,2017-02-02T07:37:47.133Z,85
WhatsApp,com.whatsapp,Comms,2017-02-02T07:36:22.230Z,9
Photos,com.google.android.apps.photos,Fun,2017-02-02T07:36:13.258Z,32
WhatsApp,com.whatsapp,Comms,2017-02-02T07:35:40.940Z,107
WhatsApp,com.whatsapp,Comms,2017-02-02T07:33:53.841Z,20
Photos,com.google.android.apps.photos,Fun,2017-02-02T07:33:33.360Z,7
Photos,com.google.android.apps.photos,Fun,2017-02-02T07:33:26.894Z,47
WhatsApp,com.whatsapp,Comms,2017-02-02T07:33:26.884Z,3
WhatsApp,com.whatsapp,Comms,2017-02-02T07:32:35.884Z,13
WhatsApp,com.whatsapp,Comms,2017-02-02T07:32:23.424Z,55
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T07:31:27.793Z,10
WhatsApp,com.whatsapp,Comms,2017-02-02T07:31:18.606Z,86
WhatsApp,com.whatsapp,Comms,2017-02-02T07:29:52.644Z,71
WhatsApp,com.whatsapp,Comms,2017-02-02T07:28:41.568Z,4
Google App,com.google.android.googlequicksearchbox,Find,2017-02-02T07:28:37.514Z,2
